payment_id,customer_id,amount,payment_method,payment_status,failure_reason,failed_attempts,previous_successful_payments,days_since_last_payment,checkout_abandoned,recovered,recovery_action,recovered_amount
P00001,C1103,409.59,UPI,success,none,0,4,162,no,no,none,0.0
P00002,C1180,4086.34,UPI,failed,bank_decline,3,1,75,no,no,stop,0.0
P00003,C1093,1358.44,Wallet,success,none,0,3,95,no,no,none,0.0
P00004,C1015,3745.69,Card,success,none,0,4,23,no,no,none,0.0
P00005,C1107,447.73,UPI,success,none,0,6,124,no,no,none,0.0
P00006,C1072,944.32,UPI,success,none,0,9,86,no,no,none,0.0
P00007,C1189,1486.13,UPI,success,none,0,3,43,no,no,none,0.0
P00008,C1021,1533.39,Card,success,none,0,5,40,no,no,none,0.0
P00009,C1103,1056.22,Card,success,none,0,3,47,no,no,none,0.0
P00010,C1122,2361.7,UPI,failed,technical_timeout,4,2,169,no,yes,retry,2361.7
P00011,C1211,664.67,UPI,success,none,0,4,175,no,no,none,0.0
P00012,C1215,1330.37,UPI,success,none,0,9,20,no,no,none,0.0
P00013,C1075,1620.07,Card,failed,insufficient_funds,4,4,109,no,no,escalate,0.0
P00014,C1203,2177.27,Card,success,none,0,5,68,no,no,none,0.0
P00015,C1088,2524.28,UPI,success,none,0,8,24,no,no,none,0.0
P00016,C1117,636.84,UPI,failed,network_error,4,8,36,no,yes,reminder,636.84
P00017,C1100,468.44,UPI,success,none,0,5,45,no,no,none,0.0
P00018,C1104,3859.36,Wallet,success,none,0,3,130,no,no,none,0.0
P00019,C1152,1899.29,UPI,success,none,0,9,28,no,no,none,0.0
P00020,C1131,844.41,Card,failed,authentication_failed,5,2,154,yes,no,escalate,0.0
P00021,C1150,4737.97,Card,failed,network_error,4,8,23,no,yes,reminder,4737.97
P00022,C1053,1614.46,UPI,failed,bank_decline,1,7,164,no,yes,retry,1614.46
P00023,C1002,3584.85,UPI,success,none,0,6,91,no,no,none,0.0
P00024,C1088,1557.19,UPI,failed,network_error,4,9,134,yes,yes,reminder,1557.19
P00025,C1236,6943.5,Card,success,none,0,3,163,no,no,none,0.0
P00026,C1158,5522.06,Card,failed,insufficient_funds,3,6,103,no,no,stop,0.0
P00027,C1038,1228.17,Card,failed,insufficient_funds,3,7,38,no,no,stop,0.0
P00028,C1130,3067.68,Card,success,none,0,7,163,no,no,none,0.0
P00029,C1192,2401.94,UPI,success,none,0,5,94,no,no,none,0.0
P00030,C1188,4131.82,Wallet,failed,bank_decline,3,5,53,no,yes,retry,4131.82
P00031,C1021,717.88,Card,success,none,0,1,38,no,no,none,0.0
P00032,C1161,2476.34,UPI,failed,bank_decline,5,7,43,no,yes,reminder,2476.34
P00033,C1204,3274.17,Wallet,success,none,0,4,103,no,no,none,0.0
P00034,C1058,395.81,Card,success,none,0,7,114,no,no,none,0.0
P00035,C1022,609.45,Card,failed,technical_timeout,3,5,4,no,no,stop,0.0
P00036,C1236,320.72,Card,failed,insufficient_funds,5,5,5,no,yes,payment_link,320.72
P00037,C1089,1209.48,Card,success,none,0,3,68,no,no,none,0.0
P00038,C1049,2535.53,Card,success,none,0,5,123,no,no,none,0.0
P00039,C1219,4567.71,UPI,success,none,0,5,173,no,no,none,0.0
P00040,C1059,1564.89,UPI,failed,bank_decline,5,4,80,yes,no,escalate,0.0
P00041,C1170,5021.39,Netbanking,success,none,0,3,153,no,no,none,0.0
P00042,C1220,525.8,UPI,failed,technical_timeout,4,3,11,yes,no,escalate,0.0
P00043,C1188,412.59,UPI,success,none,0,5,157,no,no,none,0.0
P00044,C1208,1419.9,UPI,success,none,0,10,162,no,no,none,0.0
P00045,C1015,1974.46,UPI,success,none,0,2,142,no,no,none,0.0
P00046,C1190,1444.44,Card,success,none,0,5,120,no,no,none,0.0
P00047,C1190,314.01,Netbanking,success,none,0,3,152,no,no,none,0.0
P00048,C1175,1384.59,UPI,failed,bank_decline,1,4,167,no,no,stop,0.0
P00049,C1190,556.49,UPI,success,none,0,6,26,no,no,none,0.0
P00050,C1051,2446.11,UPI,failed,technical_timeout,4,3,171,no,yes,payment_link,2446.11
P00051,C1108,1948.76,Netbanking,success,none,0,4,36,no,no,none,0.0
P00052,C1055,731.49,Card,failed,insufficient_funds,4,4,167,yes,yes,retry,731.49
P00053,C1244,1006.87,UPI,success,none,0,5,144,no,no,none,0.0
P00054,C1064,668.87,Card,failed,authentication_failed,5,8,122,yes,no,escalate,0.0
P00055,C1249,1412.32,Netbanking,failed,authentication_failed,5,5,59,no,no,escalate,0.0
P00056,C1131,3030.12,Netbanking,success,none,0,6,96,no,no,none,0.0
P00057,C1229,706.77,Netbanking,failed,insufficient_funds,3,3,6,no,no,stop,0.0
P00058,C1051,2160.37,UPI,success,none,0,4,98,no,no,none,0.0
P00059,C1135,994.57,Card,failed,insufficient_funds,3,5,56,no,no,stop,0.0
P00060,C1021,816.76,UPI,failed,insufficient_funds,4,6,136,no,no,escalate,0.0
P00061,C1073,1366.12,Netbanking,failed,authentication_failed,2,7,94,no,no,stop,0.0
P00062,C1167,681.0,Card,failed,insufficient_funds,2,5,27,yes,yes,payment_link,681.0
P00063,C1018,977.27,Card,success,none,0,2,155,no,no,none,0.0
P00064,C1132,602.8,Card,failed,bank_decline,3,6,120,no,no,stop,0.0
P00065,C1089,6461.03,UPI,success,none,0,4,174,no,no,none,0.0
P00066,C1060,1519.97,Card,success,none,0,2,169,no,no,none,0.0
P00067,C1014,875.86,Wallet,success,none,0,4,25,no,no,none,0.0
P00068,C1242,1737.99,Netbanking,success,none,0,2,86,no,no,none,0.0
P00069,C1250,1360.7,UPI,success,none,0,3,146,no,no,none,0.0
P00070,C1009,1254.22,UPI,success,none,0,4,12,no,no,none,0.0
P00071,C1090,2346.37,UPI,failed,bank_decline,2,7,87,yes,yes,retry,2346.37
P00072,C1053,2612.68,Card,failed,insufficient_funds,3,5,179,no,no,stop,0.0
P00073,C1130,994.38,Card,success,none,0,5,109,no,no,none,0.0
